0,1,2,3,4,neighbourhood
0.4913541126014138,0.584245925670416,0.44910179640718567,0.0,0.0,Clinton Hill
0.7057393394705826,0.4738294386479538,0.5239520958083833,0.5,0.0,Hell's Kitchen
0.47876089272543254,0.6431835819608409,0.45508982035928147,0.4107142857142857,0.0,Bedford-Stuyvesant
0.4575627612205153,0.5942053979477464,0.16467065868263475,0.0,1.0,Crown Heights
0.6183789985521742,0.5987755453996897,0.16467065868263475,0.46428571428571425,1.0,Greenpoint
0.5817466604747494,0.47275157368284226,0.7694610778443114,0.19642857142857142,0.0,Lower East Side
0.6971890622012182,0.638829007501954,0.28742514970059885,0.0,0.0,Roosevelt Island
0.49927609473597556,0.45485901526257067,0.2694610778443114,0.3214285714285714,0.0,Cobble Hill
0.42423580189580434,0.6349055790290095,0.2095808383233533,0.0,0.0,Prospect-Lefferts Gardens
0.5819105635534214,0.6987582995602679,0.14970059880239522,0.0,1.0,Kew Gardens Hills
0.454393968366702,0.6144261446925725,0.8982035928143713,0.0,0.0,Crown Heights
0.5110497992187106,0.6987582995602679,0.1407185628742515,0.4464285714285714,1.0,Richmond Hill
0.5122517551287871,0.7076399068724868,0.2844311377245509,0.03571428571428571,1.0,Bedford-Stuyvesant
0.9043898707897284,0.667241527981389,0.11976047904191617,0.4107142857142857,1.0,Washington Heights
0.8831097877454965,0.668922997326888,0.10479041916167665,0.0,1.0,Harlem
0.9467314994399914,0.7141070966629286,0.17964071856287425,0.017857142857142856,1.0,Washington Heights
0.655065970989142,0.4399413641458523,0.2964071856287425,0.03571428571428571,1.0,Chelsea
0.5108585789603097,0.6487022505820619,0.22455089820359284,0.08928571428571427,1.0,Bedford-Stuyvesant
0.6675499221460228,0.5475122876605951,0.5359281437125749,0.1607142857142857,0.0,Midtown
0.5563690004643718,0.6334827972751782,0.3293413173652695,0.0,1.0,Williamsburg
0.5552763132733958,0.6264120031042353,0.5538922155688623,0.0,0.0,Williamsburg
0.46196082716419085,0.6670690695870007,0.4041916167664671,0.9464285714285714,0.0,Crown Heights
0.8300871418034603,0.6279641286539572,0.8952095808383234,0.4107142857142857,0.0,Harlem
0.5159122572185595,0.49521427955505715,0.5239520958083833,0.4107142857142857,0.0,Downtown Brooklyn
